"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
1945,1949,1953,1957,1961,1965,1969,1973,1977,1981,1985,1989,1993,1997,2001,2005,2009,2013
609348,803471,830448,865675,860526,883320,1004348,759499,972434,925087,1061712,907393,908724,904362,612632,862456,949049,874769
0,0,0,0,0,0,0,0,43351,113135,96797,345185,154497,395376,369236,581896,614717,463560
252608,279790,327971,301395,354369,415612,406209,370370,563783,792573,791537,588682,419373,370441,534852,371948,462458,760232
117813,147068,186627,183243,171451,160331,169303,255456,224355,222313,214969,224852,193885,353082,312839,178885,148748,158475
0,0,0,0,125643,191702,194128,146312,184087,105921,171770,171269,412187,204824,140287,171063,165006,155357
0,0,0,0,0,0,0,241851,96248,125353,141950,266782,194633,155307,316397,232971,166361,116021
204852,218866,177662,171407,134789,207834,202553,49668,54243,80222,81202,84740,88985,115077,98486,156113,104144,148275
0,0,0,0,0,0,0,0,0,0,0,10136,3054,5884,3785,3652,9286,79152
176535,102722,90422,60060,53678,27996,21517,0,8448,7154,4245,0,361,1979,1726,1070,697,611
0,0,0,0,0,0,0,0,0,0,7846,7863,25835,16031,17940,13556,11900,11865
0,0,0,0,0,0,0,9360,14515,18602,14818,0,26360,43252,30015,32355,0,0
0,0,0,0,0,0,0,0,0,13804,12958,470,725,258,166,213,350,909
0,0,0,0,0,0,0,0,0,0,0,0,11694,3805,2353,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8963,1952,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,22139,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1974,1386,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1853,2207,269,0,0,0
0,13088,0,0,0,0,0,0,0,0,0,0,95,214,0,44,0,295
0,0,0,0,0,0,0,0,0,0,0,0,8777,491,0,0,0,0
0,0,0,0,0,0,0,0,1149,0,0,313,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8817,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,9195,1052,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,44010,21948,5341,3311
0,0,0,0,0,0,0,0,0,0,0,0,0,0,19457,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6742,3911,4936,1722
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36219,30751
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1934,0,0
0,0,0,0,43996,122721,73284,0,0,0,0,0,0,0,0,0,0,0
119362,85418,157018,154761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2855,478,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,73854,22524,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,107784,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,5113,2740,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1866,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2125,1322,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2705,2285,2214
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17731
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9869
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18821,0,1340,28368,4352,0,27143,20026,0,0,0,0,0,0,0,0,0
0,55782,3600,12312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1352,0,0,5009,5133,32050,10228,61996,0,0,0,0,0,0,0,0,0
0,31958,6061,37708,14400,17667,16667,3644,5927,0,0,0,0,0,0,0,0,0
0,0,0,0,47454,10361,34356,87076,13250,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3203,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,10213,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,87163,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,30,22,372,64,365,1094,855,499,3749,2013,0,5663,0,7616,884,1406,0
