Parti/valliste	Røyster	Røyster	Røyster	Røyster	Røyster	Røyster	Røyster	Røyster	Røyster
	1981	1985	1989	1993	1997	2001	2005	2009	2013
I alt	2495076	2601817	2647604	2461949	2584161	2521820	2638263	2682903	2836029
 	 	 	 	 	 	 	 	 	 
Det norske Arbeidarparti	925087	1061712	907393	908724	904362	612632	862456	949049	874769
Framstegspartiet	113135	96797	345185	154497	395376	369236	581896	614717	463560
Høgre	792573	791537	588682	419373	370441	534852	371948	462458	760232
Kristeleg Folkeparti	233711	214969	224852	193885	353082	312839	178885	148748	158475
Senterpartiet	164473	171770	171269	412187	204824	140287	171063	165006	155357
Sosialistisk Venstreparti	125353	141950	266782	194633	155307	316397	232971	166361	116021
Venstre	97343	81202	84740	88985	115077	98486	156113	104144	148275
Pensjonistpartiet	.	7846	7863	25835	16031	17940	13556	11900	11865
Raudt	18602	14818	22139	26360	43252	30015	32355	36219	30751
Fedrelandspartiet	.	.	.	11694	3805	2353	.	.	.
Miljøpartiet Dei Grøne	.	.	10136	3054	5884	3785	3652	9286	79152
Noregs Kommunistiske Parti	7154	4245	.	361	1979	1726	1070	697	611
Kvit Valallianse	.	.	8963	1952	463	.	.	.	.
Det Liberale Folkepartiet	13896	12958	470	725	258	166	213	350	909
Tverrpolitisk Kyst- og Distriktsparti	.	.	.	.	9195	1052	.	.	.
Kystpartiet	.	.	.	.	.	44010	21948	5341	3311
Andre lister	3749	2013	9130	19684	4825	36044	10137	8627	32741
 	 	 	 	 	 	 	 	 	 
Prosent	 	 	 	 	 	 	 	 	 
I alt	100	100	100	100	100	100	100	100	100
 	 	 	 	 	 	 	 	 	 
Det norske Arbeidarparti	37,2	40,8	34,3	36,9	35	24,3	32,7	35,4	30,8
Framstegspartiet	4,5	3,7	13	6,3	15,3	14,6	22,1	22,9	16,3
Høgre	31,7	30,4	22,2	17	14,3	21,2	14,1	17,2	26,8
Kristeleg Folkeparti	9,4	8,3	8,5	7,9	13,7	12,4	6,8	5,5	5,6
Senterpartiet	6,7	6,6	6,5	16,7	7,9	5,6	6,5	6,2	5,5
Sosialistisk Venstreparti	4,9	5,5	10,1	7,9	6	12,5	8,8	6,2	4,1
Venstre	3,9	3,1	3,2	3,6	4,5	3,9	5,9	3,9	5,2
Pensjonistpartiet	.	0,3	0,3	1	0,6	0,7	0,5	0,4	0,4
Raudt	0,7	0,6	0,8	1,1	1,7	1,2	1,2	1,4	1,1
Fedrelandspartiet	.	.	.	0,5	0,1	0,1	.	.	.
Miljøpartiet Dei Grøne	.	.	0,4	0,1	0,2	0,2	0,1	0,3	2,8
Noregs Kommunistiske Parti	0,3	0,2	.	0	0,1	0,1	0	0	0
Kvit Valallianse	.	.	0,3	0,1	0	.	.	.	.
Det Liberale Folkepartiet	0,5	0,5	0	0	0	0	0	0	0
Tverrpolitisk Kyst- og Distriktsparti	.	.	.	.	0,4	0	.	.	.
Kystpartiet	.	.	.	.	.	1,7	0,8	0,2	0,1
Andre lister	0,2	0,1	0,4	0,8	0,2	1,4	0,4	0,5	1,2
